Date,SBIN.NS,HDFCBANK.NS,AXISBANK.NS,ICICIBANK.NS,INDUSINDBK.NS
2019-01-01,281.99676513671875,1022.4207763671875,623.803955078125,349.9126892089844,1532.775146484375
2019-01-02,276.6317138671875,1013.0917358398438,616.5944213867188,350.7303771972656,1514.5230712890625
2019-01-03,273.9962463378906,1005.143310546875,604.561767578125,349.43170166015625,1498.6728515625
2019-01-04,280.161376953125,1007.8323974609375,616.1467895507812,351.3075256347656,1487.241455078125
2019-01-07,278.89068603515625,1009.3552856445312,633.8973999023438,353.7124328613281,1497.760498046875
2019-01-08,287.36187744140625,1000.9546508789062,647.2724609375,365.6888122558594,1515.6279296875
2019-01-09,287.36187744140625,1007.5230102539062,666.3653564453125,367.70892333984375,1538.6829833984375
2019-01-10,287.5971984863281,1003.572509765625,659.5535888671875,365.0635681152344,1504.24462890625
2019-01-11,284.9617004394531,1005.1907958984375,662.7854614257812,364.1496887207031,1455.4927978515625
2019-01-14,282.74981689453125,1000.31201171875,655.5261840820312,359.1474914550781,1425.6173095703125
2019-01-15,283.9263610839844,1009.9503173828125,656.9182739257812,358.5703125,1436.3282470703125
2019-01-16,285.3382263183594,1009.1411743164062,660.2993774414062,361.0233154296875,1466.5880126953125
2019-01-17,279.926025390625,1014.9005126953125,672.87890625,360.34991455078125,1463.03369140625
2019-01-18,277.6200256347656,1013.9247436523438,660.8960571289062,357.8488464355469,1457.173828125
2019-01-21,275.2669372558594,1022.4445190429688,656.6199340820312,357.560302734375,1448.239990234375
2019-01-22,273.1961669921875,1016.59033203125,657.9127197265625,355.010986328125,1442.4761962890625
2019-01-23,269.80767822265625,1002.0969848632812,657.9127197265625,353.4237976074219,1436.13623046875
2019-01-24,271.12542724609375,1000.5977783203125,659.951416015625,350.9226989746094,1431.621337890625
2019-01-25,268.6311340332031,997.6229248046875,666.017333984375,343.6118469238281,1426.433837890625
2019-01-28,265.0544128417969,991.9827270507812,652.6422729492188,330.4810791015625,1386.85595703125
2019-01-29,264.1131896972656,979.3458862304688,657.0674438476562,333.65557861328125,1404.29150390625
2019-01-30,270.5606994628906,968.4462280273438,687.0992431640625,351.98089599609375,1417.9803466796875
2019-01-31,276.3963928222656,989.9835815429688,718.6723022460938,350.58612060546875,1446.2708740234375
2019-02-01,267.68988037109375,994.9812622070312,713.2526245117188,341.15887451171875,1455.4927978515625
2019-02-04,267.2663879394531,1001.8589477539062,716.4844970703125,341.0626220703125,1445.4063720703125
2019-02-05,267.9252014160156,1006.2140502929688,725.434326171875,339.2349548339844,1481.0455322265625
2019-02-06,272.0666809082031,1010.307373046875,721.7052612304688,345.6319580078125,1465.963623046875
2019-02-07,270.51361083984375,1007.7372436523438,726.080810546875,345.00665283203125,1455.3006591796875
2019-02-08,269.1958923339844,1010.307373046875,715.3907470703125,341.5917663574219,1440.0267333984375
2019-02-11,264.01904296875,1018.3988037109375,706.8883666992188,336.7338562011719,1451.5062255859375
2019-02-12,259.21868896484375,1013.6629028320312,701.6676025390625,331.2025451660156,1438.24951171875
2019-02-14,251.4063720703125,1004.3815307617188,691.1265869140625,330.8658752441406,1457.750244140625
2019-02-15,247.50022888183594,999.8361206054688,682.7734375,329.1343688964844,1450.0653076171875
2019-02-18,244.67648315429688,994.719482421875,689.4360961914062,325.86370849609375,1457.27001953125
2019-02-19,247.45315551757812,991.9351806640625,689.1875610351562,330.1925354003906,1422.20703125
2019-02-20,251.9711456298828,1003.501220703125,696.4468383789062,332.068359375,1422.495361328125
2019-02-21,252.2534942626953,1007.094482421875,693.3143310546875,337.936279296875,1413.609619140625
2019-02-22,255.03018188476562,995.4572143554688,698.1373291015625,338.6577453613281,1405.2039794921875
2019-02-25,254.2771453857422,1011.6162719726562,699.7781982421875,342.0726623535156,1432.48583984375
2019-02-26,250.70045471191406,1004.5958862304688,706.1921997070312,334.9542236328125,1419.901611328125
2019-02-27,251.92405700683594,995.8380126953125,714.1973876953125,332.4049987792969,1418.556640625
2019-02-28,253.24180603027344,988.84130859375,705.5955810546875,336.83001708984375,1415.81884765625
2019-03-01,256.9126281738281,991.6019287109375,698.4854736328125,340.7740783691406,1454.484130859375
2019-03-05,260.2070007324219,1002.9061279296875,727.9701538085938,349.43170166015625,1480.901123046875
2019-03-06,261.76007080078125,1001.5496215820312,716.5839233398438,357.80078125,1474.4169921875
2019-03-07,265.19561767578125,1012.139892578125,729.6605834960938,356.6944885253906,1470.9588623046875
2019-03-08,264.67791748046875,1012.9490966796875,729.3126220703125,356.5020751953125,1458.23046875
2019-03-11,270.466552734375,1013.0679321289062,730.406494140625,361.5523986816406,1454.9644775390625
2019-03-12,270.0429992675781,1033.3203125,738.41162109375,373.4325866699219,1507.2706298828125
2019-03-13,275.9257507324219,1059.7601318359375,733.8870239257812,376.9918518066406,1571.920654296875
2019-03-14,274.7492370605469,1058.903564453125,736.4724731445312,373.14398193359375,1616.4456787109375
2019-03-15,280.8673095703125,1072.3494873046875,731.0031127929688,380.26251220703125,1636.1866455078125
2019-03-18,281.3850402832031,1076.371337890625,742.8368530273438,382.90789794921875,1648.242431640625
2019-03-19,285.2441101074219,1079.369873046875,756.6593627929688,383.2445373535156,1657.2723388671875
2019-03-20,285.95001220703125,1094.243896484375,751.5379638671875,377.95379638671875,1645.9368896484375
2019-03-22,280.5378723144531,1083.3680419921875,752.830810546875,376.8955993652344,1631.7197265625
2019-03-25,276.7258605957031,1085.8193359375,741.5440673828125,368.911376953125,1617.26220703125
2019-03-26,285.66766357421875,1100.1221923828125,752.8805541992188,379.1081237792969,1647.1376953125
